Sales Person,Country,Product,Date,Amount,Boxes Shipped,Payment Type,Time of Day,Unnamed: 8
Roddy Speechley,New Zealand,Orange Choco,01-04-2023,51.29,100,Card,Afternoon,
Beverie Moffet,Australia,Eclairs,20-06-2023,1835.42,6,Card,Afternoon,
Kelci Walkden,UK,Fruit & Nut Bars,29-06-2023,14592.11,509,Card,Evening,
Marney O'Breen,USA,50% Dark Bites,15-06-2023,1114.13,106,Card,Morning,
Husein Augar,USA,After Nines,08-04-2023,13051.75,193,Cash,Evening,
Dennison Crosswaite,Australia,Raspberry Choco,14-03-2023,5997.71,31,Cash,Morning,
Andria Kimpton,USA,Fruit & Nut Bars,15-07-2023,1588.28,352,Cash,Evening,
Kelci Walkden,India,Eclairs,19-04-2023,5344.21,80,UPI,Afternoon,
Marney O'Breen,USA,99% Dark & Pure,28-03-2023,4646.91,317,Card,Afternoon,
Brien Boise,Canada,Spicy Special Slims,04-03-2023,8929.88,100,Cash,Afternoon,
Karlen McCaffrey,New Zealand,70% Dark Bites,02-08-2023,141.23,38,Card,Afternoon,
Husein Augar,UK,Spicy Special Slims,25-08-2023,5068.99,45,Card,Morning,
Marney O'Breen,USA,Almond Choco,25-02-2023,8012.72,163,Card,Afternoon,
Kelci Walkden,India,Orange Choco,07-06-2023,10587.71,134,UPI,Evening,
Jan Morforth,India,Spicy Special Slims,12-04-2023,2155.62,495,UPI,Afternoon,
Ches Bonnell,India,Spicy Special Slims,06-07-2023,11010.43,103,UPI,Morning,
Kelci Walkden,UK,Smooth Sliky Salty,19-01-2023,6787.72,192,Card,Morning,
Madelene Upcott,Australia,Fruit & Nut Bars,05-01-2023,5715.07,90,Cash,Morning,
Madelene Upcott,Canada,70% Dark Bites,24-01-2023,12100.65,142,Cash,Morning,
Wilone O'Kielt,Australia,Drinking Coco,06-04-2023,623.75,285,Cash,Evening,
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-06-2023,6528.42,22,Card,Evening,
Gigi Bohling,Canada,Baker's Choco Chips,28-01-2023,1540.55,47,Cash,Evening,
Kelci Walkden,India,Caramel Stuffed Bars,16-03-2023,487.06,123,Cash,Evening,
Rafaelita Blaksland,Australia,Drinking Coco,21-02-2023,11630.38,431,Card,Afternoon,
Kelci Walkden,USA,Manuka Honey Choco,16-02-2023,17297.66,96,Cash,Evening,
Jehu Rudeforth,Canada,Spicy Special Slims,13-01-2023,2043.55,28,Cash,Afternoon,
Kelci Walkden,Australia,Eclairs,23-03-2023,8168.86,570,Cash,Morning,
Curtice Advani,Canada,Spicy Special Slims,16-06-2023,933.45,122,Card,Morning,
Oby Sorrel,India,Raspberry Choco,14-04-2023,6826.32,44,UPI,Morning,
Kelci Walkden,UK,Eclairs,25-01-2023,5029.35,61,Card,Evening,
Jan Morforth,India,Almond Choco,11-03-2023,5143.49,21,Card,Afternoon,
Dotty Strutley,UK,Almond Choco,28-07-2023,16707.88,102,Cash,Morning,
Marney O'Breen,New Zealand,After Nines,09-03-2023,1558.87,46,Card,Afternoon,
Husein Augar,Australia,Orange Choco,28-06-2023,9332.76,196,Card,Afternoon,
Marney O'Breen,Australia,Milk Bars,28-07-2023,2673.47,375,Card,Evening,
Kelci Walkden,Canada,99% Dark & Pure,15-08-2023,4950.21,54,Cash,Evening,
Kaine Padly,Australia,Manuka Honey Choco,12-01-2023,2919.11,271,Card,Morning,
Beverie Moffet,New Zealand,White Choc,24-03-2023,8003.23,7,Card,Morning,
Van Tuxwell,UK,Milk Bars,25-07-2023,4902.78,91,Cash,Afternoon,
Oby Sorrel,Canada,99% Dark & Pure,01-08-2023,4033.53,430,Cash,Afternoon,
Van Tuxwell,India,Organic Choco Syrup,16-05-2023,22751.18,182,UPI,Morning,
Roddy Speechley,India,Smooth Sliky Salty,10-08-2023,5118.11,137,UPI,Morning,
Jan Morforth,India,Eclairs,05-01-2023,2835.9,26,Cash,Afternoon,
Ches Bonnell,UK,Smooth Sliky Salty,11-07-2023,5828.22,121,Card,Afternoon,
Wilone O'Kielt,USA,After Nines,25-04-2023,396.19,32,Card,Afternoon,
Gigi Bohling,New Zealand,Fruit & Nut Bars,04-04-2023,11226.5,118,Cash,Afternoon,
Barr Faughny,USA,Raspberry Choco,12-04-2023,10102.86,107,Card,Afternoon,
Wilone O'Kielt,New Zealand,85% Dark Bars,02-08-2023,2084.86,119,Cash,Morning,
Gigi Bohling,New Zealand,Manuka Honey Choco,28-06-2023,8495.79,268,Cash,Afternoon,
Ches Bonnell,Australia,Eclairs,05-07-2023,4248.34,130,Card,Morning,
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07-06-2023,2236.11,46,Card,Morning,
Brien Boise,New Zealand,Smooth Sliky Salty,18-01-2023,1124.27,26,Card,Afternoon,
Brien Boise,Australia,Baker's Choco Chips,04-01-2023,12870.47,227,Cash,Afternoon,
Dennison Crosswaite,Australia,99% Dark & Pure,31-01-2023,3017.66,19,Card,Afternoon,
Kelci Walkden,India,Almond Choco,14-03-2023,3574.12,149,Cash,Morning,
Camilla Castle,Australia,70% Dark Bites,29-04-2023,6249.31,509,Cash,Evening,
Oby Sorrel,India,Smooth Sliky Salty,07-02-2023,10759.61,107,UPI,Evening,
Kaine Padly,UK,Organic Choco Syrup,31-03-2023,2508.03,175,Cash,Morning,
Marney O'Breen,India,Caramel Stuffed Bars,16-03-2023,4997.82,83,Cash,Morning,
Karlen McCaffrey,UK,Eclairs,25-01-2023,7901.09,200,Cash,Afternoon,
Van Tuxwell,India,Baker's Choco Chips,20-06-2023,3133.42,479,Cash,Evening,
Gigi Bohling,UK,After Nines,29-03-2023,8320.29,171,Cash,Evening,
Curtice Advani,Australia,Orange Choco,12-07-2023,909.93,132,Card,Afternoon,
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-07-2023,5631.26,142,Cash,Morning,
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-01-2023,3283.44,186,Card,Morning,
Andria Kimpton,USA,85% Dark Bars,05-04-2023,9458.03,87,Card,Afternoon,
Jehu Rudeforth,Canada,Milk Bars,21-02-2023,7726.25,12,Card,Morning,
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-05-2023,14369.4,15,Card,Morning,
Mallorie Waber,Australia,Milk Bars,29-07-2023,2829.57,106,Cash,Afternoon,
Barr Faughny,USA,Fruit & Nut Bars,28-01-2023,9370.61,45,Card,Morning,
Marney O'Breen,UK,Caramel Stuffed Bars,19-07-2023,3651.49,112,Cash,Morning,
Mallorie Waber,New Zealand,Manuka Honey Choco,13-04-2023,10229.99,12,Cash,Morning,
Roddy Speechley,India,Peanut Butter Cubes,11-02-2023,11596.89,22,UPI,Evening,
Roddy Speechley,New Zealand,Milk Bars,02-03-2023,5857.9,111,Card,Evening,
Ches Bonnell,Australia,White Choc,02-03-2023,1177.64,206,Cash,Morning,
Van Tuxwell,USA,99% Dark & Pure,28-07-2023,12930.11,6,Card,Evening,
Kelci Walkden,India,After Nines,07-01-2023,1732.04,531,Cash,Evening,
Brien Boise,UK,White Choc,12-04-2023,5837.17,173,Cash,Evening,
Van Tuxwell,Canada,Almond Choco,27-06-2023,3424.66,70,Cash,Afternoon,
Jehu Rudeforth,Australia,50% Dark Bites,14-01-2023,5700.28,422,Cash,Morning,
Karlen McCaffrey,UK,Baker's Choco Chips,07-02-2023,5094.48,373,Cash,Morning,
Jehu Rudeforth,Australia,Orange Choco,23-03-2023,14529.2,26,Card,Afternoon,
Marney O'Breen,India,Peanut Butter Cubes,10-01-2023,6761.28,145,UPI,Evening,
Oby Sorrel,UK,Choco Coated Almonds,17-03-2023,10370.44,44,Card,Evening,
Gigi Bohling,USA,Spicy Special Slims,21-01-2023,12450.24,57,Cash,Afternoon,
Barr Faughny,Australia,White Choc,04-07-2023,8927.63,386,Card,Afternoon,
Kaine Padly,Canada,Peanut Butter Cubes,04-07-2023,3438.7,191,Card,Afternoon,
Dotty Strutley,USA,Manuka Honey Choco,10-08-2023,299.71,207,Cash,Afternoon,
Dennison Crosswaite,Australia,50% Dark Bites,01-04-2023,7374.26,12,Cash,Afternoon,
Gigi Bohling,India,Raspberry Choco,22-02-2023,2775.87,174,UPI,Evening,
Camilla Castle,UK,White Choc,03-01-2023,9957.66,194,Cash,Afternoon,
Karlen McCaffrey,India,Drinking Coco,31-05-2023,5064.88,251,UPI,Evening,
Dotty Strutley,UK,99% Dark & Pure,03-01-2023,9865.05,273,Card,Morning,
Husein Augar,New Zealand,Caramel Stuffed Bars,27-01-2023,571.52,489,Card,Evening,
Barr Faughny,UK,50% Dark Bites,28-01-2023,656.44,67,Card,Morning,
Curtice Advani,Australia,Organic Choco Syrup,28-06-2023,4008.93,301,Card,Afternoon,
Husein Augar,UK,Choco Coated Almonds,02-03-2023,4679.06,43,Cash,Evening,
Wilone O'Kielt,Australia,After Nines,27-05-2023,3446.84,28,Card,Evening,
Dennison Crosswaite,USA,Almond Choco,30-06-2023,11884.52,82,Card,Afternoon,
Barr Faughny,Canada,Peanut Butter Cubes,07-06-2023,2167.19,85,Cash,Morning,
Kaine Padly,USA,70% Dark Bites,12-05-2023,4199.84,107,Cash,Morning,
Barr Faughny,New Zealand,Raspberry Choco,29-07-2023,7358.7,68,Card,Evening,
Dennison Crosswaite,UK,White Choc,03-08-2023,7870.09,274,Card,Morning,
Barr Faughny,India,Baker's Choco Chips,18-08-2023,7454.25,148,UPI,Evening,
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-06-2023,3112.3,41,Card,Afternoon,
Beverie Moffet,UK,White Choc,30-06-2023,6901.22,80,Card,Afternoon,
Camilla Castle,New Zealand,Mint Chip Choco,13-06-2023,1178.0,199,Card,Afternoon,
Ches Bonnell,UK,Orange Choco,27-04-2023,14953.83,53,Card,Morning,
Jan Morforth,Australia,White Choc,27-07-2023,3958.57,33,Card,Evening,
Mallorie Waber,Canada,85% Dark Bars,20-04-2023,1639.01,430,Card,Afternoon,
Rafaelita Blaksland,India,Spicy Special Slims,04-01-2023,8586.04,144,Cash,Evening,
Ches Bonnell,Australia,Mint Chip Choco,21-02-2023,10000.22,98,Card,Morning,
Karlen McCaffrey,Australia,White Choc,05-01-2023,8448.39,52,Cash,Evening,
Beverie Moffet,India,Drinking Coco,15-07-2023,6984.74,51,UPI,Evening,
Brien Boise,Australia,Choco Coated Almonds,25-05-2023,5641.54,61,Card,Evening,
Karlen McCaffrey,Canada,Eclairs,20-04-2023,3850.87,372,Card,Morning,
Gigi Bohling,USA,99% Dark & Pure,02-06-2023,885.68,240,Cash,Afternoon,
Marney O'Breen,UK,Smooth Sliky Salty,13-05-2023,21251.67,91,Card,Evening,
Beverie Moffet,New Zealand,Baker's Choco Chips,03-08-2023,1452.61,142,Cash,Morning,
Beverie Moffet,Australia,Milk Bars,25-05-2023,793.17,400,Card,Morning,
Van Tuxwell,UK,Raspberry Choco,16-03-2023,7152.22,83,Cash,Morning,
Jan Morforth,Australia,Orange Choco,04-07-2023,3364.44,126,Card,Morning,
Jehu Rudeforth,India,50% Dark Bites,05-07-2023,3470.6,129,Cash,Morning,
Madelene Upcott,USA,After Nines,15-03-2023,4676.32,440,Card,Evening,
Barr Faughny,UK,Raspberry Choco,22-08-2023,6323.45,70,Card,Morning,
Ches Bonnell,Australia,70% Dark Bites,12-01-2023,3252.7,119,Cash,Evening,
Marney O'Breen,UK,Baker's Choco Chips,10-06-2023,254.16,161,Cash,Afternoon,
Kaine Padly,Australia,Peanut Butter Cubes,25-03-2023,6127.37,299,Card,Morning,
Rafaelita Blaksland,India,Almond Choco,27-07-2023,3791.66,100,Cash,Afternoon,
Husein Augar,UK,Caramel Stuffed Bars,15-04-2023,17059.69,456,Cash,Evening,
Roddy Speechley,India,Orange Choco,27-06-2023,4154.44,18,Card,Evening,
Jehu Rudeforth,UK,70% Dark Bites,14-04-2023,6168.51,280,Cash,Morning,
Husein Augar,Australia,Manuka Honey Choco,15-03-2023,7984.45,95,Card,Afternoon,
Madelene Upcott,USA,Eclairs,18-03-2023,9108.33,213,Card,Afternoon,
Brien Boise,India,Eclairs,29-04-2023,1511.51,58,Card,Evening,
Mallorie Waber,New Zealand,White Choc,25-02-2023,3364.28,265,Cash,Afternoon,
Husein Augar,USA,Milk Bars,02-03-2023,934.49,54,Card,Morning,
Van Tuxwell,Australia,Milk Bars,20-06-2023,8895.7,91,Cash,Morning,
Beverie Moffet,Canada,White Choc,15-07-2023,9957.2,185,Cash,Evening,
Dotty Strutley,Australia,50% Dark Bites,12-05-2023,3359.18,256,Card,Evening,
Mallorie Waber,New Zealand,Organic Choco Syrup,01-07-2023,5098.29,276,Card,Afternoon,
Husein Augar,USA,85% Dark Bars,08-08-2023,398.28,52,Cash,Afternoon,
Madelene Upcott,Australia,50% Dark Bites,25-07-2023,7473.14,6,Cash,Evening,
Wilone O'Kielt,UK,Drinking Coco,18-05-2023,3638.66,59,Card,Morning,
Camilla Castle,India,Peanut Butter Cubes,15-07-2023,12507.08,284,UPI,Afternoon,
Curtice Advani,India,70% Dark Bites,05-07-2023,2393.79,48,UPI,Morning,
Mallorie Waber,USA,Manuka Honey Choco,04-07-2023,6136.99,94,Cash,Afternoon,
Dotty Strutley,UK,70% Dark Bites,20-06-2023,1264.43,232,Card,Evening,
Gunar Cockshoot,Australia,Almond Choco,25-01-2023,4101.26,425,Card,Afternoon,
Kaine Padly,New Zealand,Spicy Special Slims,01-07-2023,8106.88,40,Card,Morning,
Gigi Bohling,USA,50% Dark Bites,13-04-2023,2456.1,58,Card,Morning,
Beverie Moffet,UK,Smooth Sliky Salty,04-05-2023,4726.6,75,Card,Evening,
Beverie Moffet,Australia,Baker's Choco Chips,04-08-2023,3482.73,108,Card,Afternoon,
Beverie Moffet,India,70% Dark Bites,01-06-2023,467.19,159,Card,Afternoon,
Jehu Rudeforth,UK,Choco Coated Almonds,22-04-2023,4875.38,185,Card,Evening,
Kaine Padly,USA,50% Dark Bites,03-08-2023,70.6,27,Card,Morning,
Ches Bonnell,USA,Orange Choco,10-06-2023,1835.22,73,Cash,Afternoon,
Gunar Cockshoot,UK,Manuka Honey Choco,27-06-2023,7304.74,49,Card,Morning,
Marney O'Breen,Australia,Smooth Sliky Salty,03-01-2023,3967.85,163,Cash,Afternoon,
Marney O'Breen,India,After Nines,11-07-2023,2800.67,190,Card,Evening,
Ches Bonnell,New Zealand,Milk Bars,17-08-2023,4474.52,120,Cash,Morning,
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-01-2023,2737.03,63,Cash,Afternoon,
Ches Bonnell,India,Organic Choco Syrup,08-03-2023,16717.26,102,UPI,Morning,
Mallorie Waber,Australia,Orange Choco,07-03-2023,16112.73,282,Card,Morning,
Husein Augar,India,70% Dark Bites,09-05-2023,6898.0,163,Cash,Afternoon,
Barr Faughny,New Zealand,85% Dark Bars,23-05-2023,2151.04,170,Card,Afternoon,
Madelene Upcott,UK,Caramel Stuffed Bars,15-04-2023,172.51,152,Card,Afternoon,
Gigi Bohling,Australia,Drinking Coco,27-07-2023,2949.02,153,Card,Evening,
Marney O'Breen,Canada,Choco Coated Almonds,22-08-2023,2790.72,435,Card,Afternoon,
Ches Bonnell,USA,70% Dark Bites,11-05-2023,5054.42,127,Card,Afternoon,
Madelene Upcott,India,Organic Choco Syrup,26-01-2023,5418.75,37,Card,Afternoon,
Barr Faughny,USA,50% Dark Bites,14-04-2023,14604.67,128,Card,Afternoon,
Dennison Crosswaite,New Zealand,Mint Chip Choco,05-04-2023,6668.93,419,Cash,Morning,
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-06-2023,9689.7,58,Card,Afternoon,
Brien Boise,Canada,Almond Choco,13-04-2023,5026.81,123,Cash,Evening,
Beverie Moffet,Australia,White Choc,27-06-2023,2379.01,178,Cash,Afternoon,
Dotty Strutley,Australia,Eclairs,26-01-2023,7770.55,3,Cash,Morning,
Barr Faughny,UK,White Choc,05-07-2023,1837.47,77,Card,Afternoon,
Beverie Moffet,Canada,Baker's Choco Chips,11-01-2023,14625.75,90,Cash,Morning,
Kelci Walkden,USA,White Choc,07-03-2023,10305.4,22,Cash,Morning,
Kaine Padly,Canada,50% Dark Bites,04-03-2023,8798.99,99,Cash,Evening,
Karlen McCaffrey,Canada,Organic Choco Syrup,15-07-2023,2466.59,309,Card,Morning,
Kaine Padly,UK,Peanut Butter Cubes,11-05-2023,6564.2,92,Card,Afternoon,
Karlen McCaffrey,USA,Milk Bars,27-01-2023,4764.56,7,Card,Morning,
Karlen McCaffrey,India,Orange Choco,27-06-2023,3172.08,153,UPI,Evening,
Ches Bonnell,India,Smooth Sliky Salty,03-08-2023,8062.0,20,UPI,Evening,
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-08-2023,12382.41,245,Card,Morning,
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-06-2023,413.6,111,Card,Evening,
Dennison Crosswaite,UK,Peanut Butter Cubes,07-02-2023,10186.18,154,Card,Evening,
Karlen McCaffrey,Australia,Almond Choco,08-07-2023,7936.84,138,Card,Evening,
Dennison Crosswaite,India,Milk Bars,21-04-2023,1712.72,93,Card,Afternoon,
Ches Bonnell,UK,Mint Chip Choco,08-04-2023,3088.98,226,Card,Morning,
Husein Augar,Australia,50% Dark Bites,19-08-2023,14953.43,51,Cash,Morning,
Jan Morforth,India,Fruit & Nut Bars,04-05-2023,3219.13,54,UPI,Morning,
Mallorie Waber,USA,85% Dark Bars,11-05-2023,2700.61,112,Card,Afternoon,
Mallorie Waber,USA,Eclairs,22-03-2023,7219.96,53,Card,Evening,
Dennison Crosswaite,Canada,Spicy Special Slims,10-08-2023,2634.13,234,Cash,Morning,
Dennison Crosswaite,USA,Fruit & Nut Bars,04-05-2023,1630.95,321,Cash,Afternoon,
Kelci Walkden,USA,99% Dark & Pure,18-08-2023,8250.66,258,Cash,Afternoon,
Dotty Strutley,Canada,Raspberry Choco,03-08-2023,4849.3,248,Cash,Afternoon,
Marney O'Breen,New Zealand,Milk Bars,14-01-2023,7940.49,328,Card,Afternoon,
Madelene Upcott,Australia,Choco Coated Almonds,08-04-2023,2106.93,69,Card,Evening,
Kelci Walkden,UK,Orange Choco,01-08-2023,3911.85,3,Cash,Evening,
Dennison Crosswaite,Canada,Eclairs,15-03-2023,483.04,45,Cash,Morning,
Karlen McCaffrey,India,Mint Chip Choco,15-07-2023,11380.7,192,Cash,Evening,
Barr Faughny,New Zealand,Almond Choco,13-01-2023,6372.68,131,Card,Afternoon,
Mallorie Waber,Australia,85% Dark Bars,26-08-2023,2714.76,52,Card,Morning,
Ches Bonnell,Canada,Eclairs,10-01-2023,2106.17,172,Card,Afternoon,
Gigi Bohling,Australia,White Choc,11-05-2023,5805.24,83,Cash,Evening,
Beverie Moffet,New Zealand,85% Dark Bars,30-08-2023,12205.52,23,Cash,Evening,
Kaine Padly,USA,Caramel Stuffed Bars,21-07-2023,6318.7,124,Cash,Afternoon,
Mallorie Waber,Australia,Almond Choco,01-08-2023,8522.8,137,Card,Morning,
Brien Boise,Canada,85% Dark Bars,17-02-2023,10315.88,268,Card,Evening,
Brien Boise,Australia,Drinking Coco,27-07-2023,7262.12,158,Cash,Evening,
Dotty Strutley,USA,Orange Choco,23-02-2023,1414.84,112,Cash,Morning,
Rafaelita Blaksland,Australia,50% Dark Bites,22-03-2023,3067.9,42,Cash,Evening,
Dennison Crosswaite,India,99% Dark & Pure,23-06-2023,7369.69,325,Cash,Morning,
Curtice Advani,UK,White Choc,01-02-2023,1775.18,73,Cash,Morning,
Kelci Walkden,Australia,After Nines,02-03-2023,7683.78,279,Card,Morning,
Gigi Bohling,UK,Fruit & Nut Bars,06-04-2023,1412.22,90,Cash,Afternoon,
Gunar Cockshoot,Australia,Raspberry Choco,17-03-2023,607.08,76,Cash,Evening,
Curtice Advani,UK,Fruit & Nut Bars,24-06-2023,11688.75,136,Card,Afternoon,
Barr Faughny,Canada,50% Dark Bites,19-07-2023,10275.55,301,Cash,Evening,
Curtice Advani,USA,Spicy Special Slims,11-07-2023,1788.1,271,Cash,Evening,
Brien Boise,India,Almond Choco,13-01-2023,2378.08,222,Cash,Morning,
Oby Sorrel,New Zealand,Smooth Sliky Salty,07-07-2023,9545.03,64,Cash,Evening,
Jan Morforth,India,85% Dark Bars,25-05-2023,4999.52,446,UPI,Evening,
Marney O'Breen,India,Fruit & Nut Bars,13-04-2023,5312.5,160,Card,Evening,
Andria Kimpton,New Zealand,50% Dark Bites,02-03-2023,3750.88,208,Cash,Evening,
Gunar Cockshoot,Canada,Raspberry Choco,23-06-2023,2375.74,129,Cash,Morning,
Kelci Walkden,USA,Drinking Coco,26-07-2023,7013.61,170,Cash,Afternoon,
Van Tuxwell,Canada,White Choc,22-03-2023,481.52,3,Card,Morning,
Rafaelita Blaksland,USA,Baker's Choco Chips,09-06-2023,3136.92,64,Cash,Afternoon,
Van Tuxwell,Australia,Caramel Stuffed Bars,17-05-2023,6584.26,62,Cash,Evening,
Ches Bonnell,New Zealand,Peanut Butter Cubes,04-03-2023,1024.77,260,Cash,Afternoon,
Kelci Walkden,Canada,Milk Bars,07-07-2023,17680.19,27,Cash,Morning,
Dennison Crosswaite,Canada,Choco Coated Almonds,13-01-2023,10707.82,124,Card,Evening,
Curtice Advani,Australia,Almond Choco,13-07-2023,3019.09,78,Cash,Evening,
Madelene Upcott,Australia,85% Dark Bars,16-06-2023,1758.62,329,Card,Morning,
Gigi Bohling,UK,50% Dark Bites,18-07-2023,8385.38,73,Cash,Morning,
Ches Bonnell,UK,Manuka Honey Choco,30-05-2023,4854.12,411,Cash,Afternoon,
Gigi Bohling,UK,70% Dark Bites,21-06-2023,949.18,83,Card,Morning,
Jehu Rudeforth,Australia,Peanut Butter Cubes,24-06-2023,6047.05,40,Card,Evening,
Marney O'Breen,India,Eclairs,13-01-2023,3883.32,94,UPI,Morning,
Curtice Advani,Canada,Fruit & Nut Bars,04-04-2023,4382.07,210,Card,Morning,
Kaine Padly,UK,Smooth Sliky Salty,08-06-2023,9928.1,599,Card,Morning,
Karlen McCaffrey,Canada,Spicy Special Slims,02-08-2023,6315.53,51,Cash,Morning,
Kelci Walkden,USA,Organic Choco Syrup,21-07-2023,10630.08,155,Card,Evening,
Curtice Advani,India,Spicy Special Slims,20-06-2023,167.33,143,UPI,Afternoon,
Roddy Speechley,India,After Nines,22-06-2023,2690.14,117,Card,Evening,
Camilla Castle,Australia,Caramel Stuffed Bars,02-05-2023,3242.04,15,Cash,Evening,
Curtice Advani,Australia,99% Dark & Pure,07-01-2023,5363.69,87,Card,Afternoon,
Mallorie Waber,UK,50% Dark Bites,21-02-2023,6160.89,95,Card,Morning,
Ches Bonnell,Canada,Baker's Choco Chips,21-03-2023,7968.23,373,Card,Afternoon,
Van Tuxwell,UK,Drinking Coco,04-04-2023,6388.95,131,Card,Evening,
Gunar Cockshoot,Canada,Fruit & Nut Bars,24-03-2023,15840.74,216,Cash,Afternoon,
Gunar Cockshoot,New Zealand,Spicy Special Slims,28-06-2023,7265.05,194,Cash,Afternoon,
Gunar Cockshoot,Australia,Drinking Coco,14-01-2023,2342.49,192,Cash,Morning,
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,07-02-2023,1365.88,147,Card,Morning,
Dennison Crosswaite,New Zealand,Drinking Coco,11-01-2023,4437.46,196,Cash,Morning,
Jehu Rudeforth,India,99% Dark & Pure,25-02-2023,2072.24,232,Card,Evening,
Dotty Strutley,Australia,Mint Chip Choco,01-08-2023,7091.81,27,Cash,Afternoon,
Roddy Speechley,Australia,Mint Chip Choco,05-05-2023,7213.16,277,Cash,Morning,
Madelene Upcott,New Zealand,Raspberry Choco,18-05-2023,9672.76,411,Cash,Afternoon,
Dotty Strutley,New Zealand,Choco Coated Almonds,04-01-2023,5750.05,350,Cash,Morning,
Roddy Speechley,New Zealand,50% Dark Bites,09-05-2023,4641.29,220,Card,Morning,
Rafaelita Blaksland,India,Smooth Sliky Salty,06-05-2023,1871.33,88,Card,Morning,
Husein Augar,UK,White Choc,13-01-2023,10843.46,142,Card,Afternoon,
Roddy Speechley,Australia,Almond Choco,24-06-2023,5032.45,79,Card,Evening,
Van Tuxwell,USA,Caramel Stuffed Bars,14-02-2023,1106.38,21,Card,Morning,
Camilla Castle,Australia,99% Dark & Pure,18-01-2023,4977.55,97,Card,Evening,
Kaine Padly,India,Milk Bars,02-05-2023,3210.14,92,Card,Morning,
Ches Bonnell,Australia,Smooth Sliky Salty,16-05-2023,7794.8,54,Card,Evening,
Mallorie Waber,USA,Almond Choco,28-01-2023,7613.37,370,Card,Evening,
Kaine Padly,Canada,99% Dark & Pure,24-06-2023,1332.76,409,Card,Morning,
Oby Sorrel,UK,After Nines,18-07-2023,2587.76,108,Card,Evening,
Gunar Cockshoot,UK,Eclairs,13-04-2023,3826.22,169,Cash,Morning,
Dotty Strutley,USA,Caramel Stuffed Bars,15-04-2023,18687.87,80,Cash,Morning,
Jan Morforth,India,Peanut Butter Cubes,04-01-2023,8859.63,184,UPI,Morning,
Husein Augar,Australia,Eclairs,04-07-2023,7299.4,34,Cash,Afternoon,
Beverie Moffet,USA,Smooth Sliky Salty,24-03-2023,2556.26,354,Cash,Evening,
Camilla Castle,Australia,Manuka Honey Choco,17-03-2023,703.4,181,Cash,Evening,
Oby Sorrel,Australia,Almond Choco,15-02-2023,6421.18,242,Card,Afternoon,
Jan Morforth,USA,Orange Choco,29-06-2023,1048.26,149,Cash,Evening,
Gigi Bohling,USA,Fruit & Nut Bars,24-05-2023,3099.14,115,Card,Morning,
Mallorie Waber,UK,Milk Bars,10-01-2023,3737.68,282,Cash,Morning,
Curtice Advani,USA,Raspberry Choco,15-03-2023,3086.89,153,Cash,Afternoon,
Marney O'Breen,Canada,Milk Bars,08-02-2023,2618.15,312,Cash,Evening,
Brien Boise,India,Caramel Stuffed Bars,25-02-2023,1643.45,110,Card,Evening,
Gunar Cockshoot,USA,Eclairs,03-05-2023,7368.94,45,Card,Afternoon,
Roddy Speechley,USA,Fruit & Nut Bars,14-06-2023,6082.19,23,Cash,Morning,
Gunar Cockshoot,India,50% Dark Bites,09-08-2023,14456.14,79,UPI,Evening,
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11-07-2023,4173.4,254,Cash,Evening,
Kaine Padly,UK,Manuka Honey Choco,14-01-2023,7189.18,113,Cash,Evening,
Van Tuxwell,Canada,Manuka Honey Choco,24-02-2023,8962.96,48,Card,Morning,
Wilone O'Kielt,New Zealand,Almond Choco,15-03-2023,10085.02,146,Card,Afternoon,
Oby Sorrel,New Zealand,Baker's Choco Chips,25-04-2023,12073.18,51,Cash,Evening,
Dennison Crosswaite,Australia,Organic Choco Syrup,10-05-2023,6655.62,39,Cash,Evening,
Marney O'Breen,Australia,Spicy Special Slims,23-06-2023,14193.67,302,Cash,Morning,
Beverie Moffet,Canada,Smooth Sliky Salty,28-02-2023,15507.29,352,Cash,Evening,
Brien Boise,USA,Organic Choco Syrup,25-05-2023,17383.08,145,Card,Evening,
Roddy Speechley,New Zealand,Baker's Choco Chips,22-02-2023,5912.59,232,Cash,Evening,
Van Tuxwell,UK,85% Dark Bars,11-07-2023,4029.28,128,Card,Evening,
Marney O'Breen,Canada,Spicy Special Slims,03-01-2023,3563.09,344,Cash,Morning,
Rafaelita Blaksland,New Zealand,70% Dark Bites,24-08-2023,773.73,280,Cash,Evening,
Beverie Moffet,USA,50% Dark Bites,28-07-2023,2620.19,340,Card,Afternoon,
Brien Boise,USA,Mint Chip Choco,25-05-2023,11426.56,151,Card,Morning,
Karlen McCaffrey,New Zealand,Eclairs,06-05-2023,2935.8,171,Cash,Morning,
Barr Faughny,India,Drinking Coco,28-01-2023,2431.53,148,UPI,Afternoon,
Marney O'Breen,UK,Orange Choco,06-06-2023,11882.82,13,Card,Evening,
